,Date of Sale,Address,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Price inc VAT,Year
0,2010-01-01,"5 Braemor Drive, Churchtown, Co.Dublin",Dublin,343000.0,No,No,Second-Hand Dwelling house /Apartment,343000.0,2010
1,2010-01-03,"134 Ashewood Walk, Summerhill Lane, Portlaoise",Laois,185000.0,No,Yes,New Dwelling house /Apartment,209975.0,2010
2,2010-01-04,"1 Meadow Avenue, Dundrum, Dublin 14",Dublin,438500.0,No,No,Second-Hand Dwelling house /Apartment,438500.0,2010
3,2010-01-04,"1 The Haven, Mornington",Meath,400000.0,No,No,Second-Hand Dwelling house /Apartment,400000.0,2010
4,2010-01-04,"11 Melville Heights, Kilkenny",Kilkenny,160000.0,No,No,Second-Hand Dwelling house /Apartment,160000.0,2010
5,2010-01-04,"12 Sallymount Avenue, Ranelagh",Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,425000.0,2010
6,2010-01-04,"13  Oakleigh Wood, Dooradoyle, Limerick",Limerick,172500.0,No,No,Second-Hand Dwelling house /Apartment,172500.0,2010
7,2010-01-04,"13 The Drive, Chapelstown Gate, Tullow Road",Carlow,177500.0,No,No,Second-Hand Dwelling house /Apartment,177500.0,2010
8,2010-01-04,"15 Carriglawn, Waterpark, Carrigaline",Cork,180000.0,No,No,Second-Hand Dwelling house /Apartment,180000.0,2010
9,2010-01-04,"15a Moore Bay, Kilkee",Clare,126500.0,No,No,Second-Hand Dwelling house /Apartment,126500.0,2010
10,2010-01-04,"16 Aisling Geal, Fr. Russell Road",Limerick,110000.0,No,No,New Dwelling house /Apartment,110000.0,2010
11,2010-01-04,"206 Philipsburgh Avenue, Marino, Dublin 3",Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,430000.0,2010
12,2010-01-04,"22 Laverna Way, Castleknock, Dublin 15",Dublin,355000.0,No,No,Second-Hand Dwelling house /Apartment,355000.0,2010
13,2010-01-04,"23 Elton Park, Sandycove",Dublin,1800000.0,No,No,Second-Hand Dwelling house /Apartment,1800000.0,2010
14,2010-01-04,"25  Lavallin Drive, Whitechurch, Cork",Cork,352000.0,No,Yes,New Dwelling house /Apartment,399520.0,2010
15,2010-01-04,"25 Fairway Lawns, Bettystown",Meath,273000.0,No,No,Second-Hand Dwelling house /Apartment,273000.0,2010
16,2010-01-04,"29 Carysfort Woods, Blackrock",Dublin,547500.0,No,No,Second-Hand Dwelling house /Apartment,547500.0,2010
17,2010-01-04,"33 RAGIAN ROAD, BALLSBRIDGE, DUBLIN 4",Dublin,700000.0,No,No,Second-Hand Dwelling house /Apartment,700000.0,2010
18,2010-01-04,"4 Hawthorn Court, Collooney",Sligo,220000.0,No,No,Second-Hand Dwelling house /Apartment,220000.0,2010
19,2010-01-04,"44 Allen Park Road, Stillorgan, County Dublin",Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,350000.0,2010
20,2010-01-04,"48 KILLIANS COURT, MULLAGH",Cavan,122000.0,No,Yes,New Dwelling house /Apartment,138470.0,2010
21,2010-01-04,"49 ballynakelly green, newcastle",Dublin,499600.0,No,Yes,New Dwelling house /Apartment,567046.0,2010
22,2010-01-04,"5 Clancy Road, Finglas, Dublin 11",Dublin,205000.0,No,No,Second-Hand Dwelling house /Apartment,205000.0,2010
23,2010-01-04,"54., brides glen avenue, swords",Dublin,337500.0,No,No,Second-Hand Dwelling house /Apartment,337500.0,2010
24,2010-01-04,"59 ormond keep, nenagh",Tipperary,128000.0,No,No,Second-Hand Dwelling house /Apartment,128000.0,2010
25,2010-01-04,"66 Rory O'Connor Place, Arklow",Wicklow,145000.0,No,No,Second-Hand Dwelling house /Apartment,145000.0,2010
26,2010-01-04,"78 Sundays Well Road, Cork",Cork,510000.0,No,No,Second-Hand Dwelling house /Apartment,510000.0,2010
27,2010-01-04,"90 Suncroft Drive, Tallaght, Dublin 24",Dublin,147950.0,No,No,Second-Hand Dwelling house /Apartment,147950.0,2010
28,2010-01-04,"Aughmagree, Kilteevan",Roscommon,215000.0,No,Yes,New Dwelling house /Apartment,244025.0,2010
29,2010-01-04,"Ballyeden, Ballyoughter, Gorey",Wexford,255022.0,No,Yes,New Dwelling house /Apartment,289449.97000000003,2010
30,2010-01-04,"CARROWTRASNA, CARROWMORE LACKEN, BALLINA",Mayo,245000.0,No,No,Second-Hand Dwelling house /Apartment,245000.0,2010
31,2010-01-04,"Cloonlaughnan, Mount Talbot",Roscommon,145000.0,No,Yes,New Dwelling house /Apartment,164575.0,2010
32,2010-01-04,"Killult, Falcarragh",Donegal,215000.0,No,Yes,New Dwelling house /Apartment,244025.0,2010
33,2010-01-04,"Knocknaree, Windsor Hill, Glounthaune",Cork,475000.0,No,No,Second-Hand Dwelling house /Apartment,475000.0,2010
34,2010-01-04,"Knock, Lanesboro",Longford,125000.0,No,No,Second-Hand Dwelling house /Apartment,125000.0,2010
35,2010-01-04,"No. 11 Blackrock Court, Quay Road, Ballina",Mayo,172500.0,No,No,Second-Hand Dwelling house /Apartment,172500.0,2010
36,2010-01-04,"No. 11, Charlotte Quay",Limerick,164167.0,No,Yes,New Dwelling house /Apartment,186329.545,2010
37,2010-01-04,"No. 12, Charlotte Quay",Limerick,164167.0,No,Yes,New Dwelling house /Apartment,186329.545,2010
38,2010-01-04,"No. 13, Charlotte Quay",Limerick,164167.0,No,Yes,New Dwelling house /Apartment,186329.545,2010
39,2010-01-04,"No. 18, Charlotte Quay",Limerick,164167.0,No,Yes,New Dwelling house /Apartment,186329.545,2010
40,2010-01-04,"Seikieran, Coldwood, Craughwell",Galway,370000.0,No,No,Second-Hand Dwelling house /Apartment,370000.0,2010
41,2010-01-04,"The Greenway, Mofel Farm Road, Cork",Cork,160000.0,Yes,No,Second-Hand Dwelling house /Apartment,160000.0,2010
42,2010-01-04,"The Mews, 11A Wyckham Park Road, Dundrum",Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,345000.0,2010
43,2010-01-05,"11 CASTLE COURT, BIRR",Offaly,110132.15,No,Yes,New Dwelling house /Apartment,124999.99024999999,2010
44,2010-01-05,"12 CASTLE COURT, BIRR",Offaly,110132.15,No,Yes,New Dwelling house /Apartment,124999.99024999999,2010
45,2010-01-05,"122 KINGSBRY, MAYNOOTH",Kildare,220000.0,No,No,Second-Hand Dwelling house /Apartment,220000.0,2010
46,2010-01-05,"13  Slievemore Apartments, Dugort, Achill",Mayo,120000.0,No,Yes,New Dwelling house /Apartment,136200.0,2010
47,2010-01-05,"134 longboat quay north, sir john rogersons quay",Dublin,225000.0,No,Yes,New Dwelling house /Apartment,255375.0,2010
48,2010-01-05,"14 beaufield grove, maynooth",Kildare,190000.0,Yes,No,Second-Hand Dwelling house /Apartment,190000.0,2010
49,2010-01-05,"14 CASTLE COURT, BIRR",Offaly,110132.15,No,Yes,New Dwelling house /Apartment,124999.99024999999,2010
50,2010-01-05,"15 spence, villas, glengear",Dublin,1600000.0,No,No,Second-Hand Dwelling house /Apartment,1600000.0,2010
51,2010-01-05,"153 Beechpark, Leixlip",Kildare,265000.0,No,Yes,New Dwelling house /Apartment,300775.0,2010
52,2010-01-05,"2 Hybrasil Court, Circular Road, Galway",Galway,370000.0,No,No,Second-Hand Dwelling house /Apartment,370000.0,2010
53,2010-01-05,"24 Garran Na Coille, Claureen, Co Clare",Clare,390000.0,No,Yes,New Dwelling house /Apartment,442650.0,2010
54,2010-01-05,"2. tulach ard, rahardrum, virginia",Cavan,145000.0,No,Yes,New Dwelling house /Apartment,164575.0,2010
55,2010-01-05,"3 castle court, birr",Offaly,154185.02,No,Yes,New Dwelling house /Apartment,174999.99769999998,2010
56,2010-01-05,"3 Myrtle Square, The Coast, Baldoyle",Dublin,265198.0,No,Yes,New Dwelling house /Apartment,300999.73,2010
57,2010-01-05,"34 Fan Glas, Kilmeaden",Waterford,238675.0,No,Yes,New Dwelling house /Apartment,270896.125,2010
58,2010-01-05,"35 Charnwood Heath, Clonsilla, Dublin 15",Dublin,297000.0,No,No,Second-Hand Dwelling house /Apartment,297000.0,2010
59,2010-01-05,"4 CASTLE COURT, BIRR",Offaly,154185.02,No,Yes,New Dwelling house /Apartment,174999.99769999998,2010
60,2010-01-05,"5 CASTLE COURT, BIRR",Offaly,154185.02,No,Yes,New Dwelling house /Apartment,174999.99769999998,2010
61,2010-01-05,"6 Clonasleigh Lane, Shankill",Dublin,415000.0,No,No,Second-Hand Dwelling house /Apartment,415000.0,2010
62,2010-01-05,"62 Ardkill Place, Ballinagh",Cavan,120000.0,No,Yes,New Dwelling house /Apartment,136200.0,2010
63,2010-01-05,"66 Villa Park Gardens, Navan Road",Dublin,410000.0,No,No,Second-Hand Dwelling house /Apartment,410000.0,2010
64,2010-01-05,"8 Silverview, Nenagh",Tipperary,90000.0,No,No,Second-Hand Dwelling house /Apartment,90000.0,2010
65,2010-01-05,"87 MANGERTON RAOD, DRIMNAGH",Dublin,182556.12,No,No,Second-Hand Dwelling house /Apartment,182556.12,2010
66,2010-01-05,"9 Temple Manor Drive, Walkinstown, Dublin 12",Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,300000.0,2010
67,2010-01-05,"Apt 1 Linden Court, Blackrock",Dublin,395000.0,No,No,Second-Hand Dwelling house /Apartment,395000.0,2010
68,2010-01-05,"Ballinvarrig, Youghal",Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,300000.0,2010
69,2010-01-05,"Boolard, Dromina, Charleville",Cork,44820.0,Yes,No,Second-Hand Dwelling house /Apartment,44820.0,2010
70,2010-01-05,"Gortalia, Kilcar, Co. Donegal",Donegal,310000.0,No,Yes,New Dwelling house /Apartment,351850.0,2010
71,2010-01-05,"No 8 Ros Mhuire, Crobally Upper, Tramore",Waterford,219000.0,No,Yes,New Dwelling house /Apartment,248565.0,2010
72,2010-01-05,"Shanakill, Waterford",Waterford,100000.0,No,No,Second-Hand Dwelling house /Apartment,100000.0,2010
73,2010-01-05,"The Lamb Manor, Manor Kilbride, Blessington",Wicklow,351000.0,No,No,Second-Hand Dwelling house /Apartment,351000.0,2010
74,2010-01-05,"Unit 406 Bridgewater Quay, Bridgewater Centre, Arklow",Wicklow,198237.87,No,Yes,New Dwelling house /Apartment,224999.98245,2010
75,2010-01-06,"11 Glasheen Park, Magazine Road, Cork",Cork,265000.0,No,No,Second-Hand Dwelling house /Apartment,265000.0,2010
76,2010-01-06,"11 Tritonville Court, Sandymount",Dublin,684000.0,No,No,Second-Hand Dwelling house /Apartment,684000.0,2010
77,2010-01-06,"122 Leargan, Ballymoneen West, Galway",Galway,198000.0,No,Yes,New Dwelling house /Apartment,224730.0,2010
78,2010-01-06,"17 Primrose Court, Forest Hill, Carrigaline",Cork,207000.0,No,Yes,New Dwelling house /Apartment,234945.0,2010
79,2010-01-06,"18 Earlsfort Court, Lucan, Co. Dublin",Dublin,280000.0,No,No,Second-Hand Dwelling house /Apartment,280000.0,2010
80,2010-01-06,"19 Rahin Road, Ballylinan, Co. Laois",Laois,130000.0,No,No,Second-Hand Dwelling house /Apartment,130000.0,2010
81,2010-01-06,"21  Richmond Estate, Blackrock",Cork,375000.0,No,No,Second-Hand Dwelling house /Apartment,375000.0,2010
82,2010-01-06,"25 Markievicz Heights, Sligo",Sligo,227000.0,No,No,Second-Hand Dwelling house /Apartment,227000.0,2010
83,2010-01-06,"253 Bru na Gruadan, Castletroy",Limerick,180000.0,No,Yes,New Dwelling house /Apartment,204300.0,2010
84,2010-01-06,"31 Gledswood Park, Clonskeagh, Dublin 14",Dublin,385000.0,No,No,Second-Hand Dwelling house /Apartment,385000.0,2010
85,2010-01-06,"4 Swangate, Athenry",Galway,222500.0,No,No,Second-Hand Dwelling house /Apartment,222500.0,2010
86,2010-01-06,"547 The Heron, Jacobs Island, Cork",Cork,200000.0,No,No,Second-Hand Dwelling house /Apartment,200000.0,2010
87,2010-01-06,"58 Palmer Park, Ballyboden, Rathfarnham",Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,250000.0,2010
88,2010-01-06,"6  MORNINGTON MANOR CLOSE, MORNINGTON",Meath,245000.0,No,No,Second-Hand Dwelling house /Apartment,245000.0,2010
89,2010-01-06,"60 oriel Cove, clogherhead",Louth,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,100000.0,2010
90,2010-01-06,"67 Pearse Road, Graiguecullen, Carlow",Carlow,120000.0,No,No,Second-Hand Dwelling house /Apartment,120000.0,2010
91,2010-01-06,"68 Coillte Mhuirlinne, Ballybane, Galway",Galway,148500.0,No,No,Second-Hand Dwelling house /Apartment,148500.0,2010
92,2010-01-06,"73 Woodlands Park, Lamberton, Arklow",Wicklow,175000.0,No,No,Second-Hand Dwelling house /Apartment,175000.0,2010
93,2010-01-06,"79 Cardinal Court, Wilton, Cork",Cork,245000.0,No,No,Second-Hand Dwelling house /Apartment,245000.0,2010
94,2010-01-06,"8 DDereen Drive, Wicklow Town, Co Wicklow",Wicklow,335000.0,No,No,Second-Hand Dwelling house /Apartment,335000.0,2010
95,2010-01-06,"84 Castleland Park View, Balbriggan",Dublin,325000.0,No,Yes,New Dwelling house /Apartment,368875.0,2010
96,2010-01-06,"85 The Orchards, Ballincubby, Kinsale",Cork,220263.42,No,Yes,New Dwelling house /Apartment,249998.9817,2010
97,2010-01-06,"9 Colthurst Green, Huntington Glen, Lucan",Dublin,228000.0,No,No,Second-Hand Dwelling house /Apartment,228000.0,2010
98,2010-01-06,"99 Fountain Hill, Mell, Drogheda",Louth,115000.0,No,No,Second-Hand Dwelling house /Apartment,115000.0,2010
99,2010-01-06,"Ardmelode, Miltown",Kerry,130000.0,No,No,Second-Hand Dwelling house /Apartment,130000.0,2010
100,2010-01-06,"Ballydaly Lower, Millstreet",Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,190000.0,2010
101,2010-01-06,"Caherfinisker, Craughwell",Galway,350000.0,Yes,No,Second-Hand Dwelling house /Apartment,350000.0,2010
102,2010-01-06,"Carrowntarrir, Dysart, Roscommon",Roscommon,161500.0,No,Yes,New Dwelling house /Apartment,183302.5,2010
103,2010-01-06,"Curragraigue, Blennerville, Tralee",Kerry,265000.0,No,No,Second-Hand Dwelling house /Apartment,265000.0,2010
105,2010-01-06,"Garravogue, Prosperous",Kildare,70000.0,No,No,Second-Hand Dwelling house /Apartment,70000.0,2010
106,2010-01-06,"Hilltown, Buncrana",Donegal,135000.0,No,No,Second-Hand Dwelling house /Apartment,135000.0,2010
107,2010-01-06,"Killeen, Newport",Tipperary,110000.0,No,No,Second-Hand Dwelling house /Apartment,110000.0,2010
108,2010-01-06,"No 3 Walnut Close, Foxburrow, Portlaoise",Laois,120000.0,No,Yes,New Dwelling house /Apartment,136200.0,2010
109,2010-01-06,"Rosenarra, Blarney Road",Cork,357000.0,No,No,Second-Hand Dwelling house /Apartment,357000.0,2010
110,2010-01-06,"Rusheenamanagh, Carna",Galway,149000.0,No,No,Second-Hand Dwelling house /Apartment,149000.0,2010
111,2010-01-06,"Scrine, Athleauge, Co. Roscommon",Roscommon,195000.0,No,Yes,New Dwelling house /Apartment,221325.0,2010
112,2010-01-06,"The Lambe, Manor Kilbride",Wicklow,470000.0,No,No,Second-Hand Dwelling house /Apartment,470000.0,2010
113,2010-01-07,"108 Ryevale lawns, Leixlip, Co. Kildare",Kildare,362000.0,No,No,Second-Hand Dwelling house /Apartment,362000.0,2010
